customerID,ChurnProbability,RiskSegment,Recommendation,MonthlyCharges,TotalCharges,tenure,PredictedChurn
5948-UJZLF,0.43387175,Medium,Send Promotional Email,49.25,97.0,2,0
7760-OYPDY,0.68384415,High,Offer Upgrade Package,80.65,144.15,2,1
7639-LIAYI,0.03127318,Low,No Action,79.75,4217.8,52,0
2954-PIBKO,0.023945307,Low,No Action,64.15,4254.1,69,0
8012-SOUDQ,0.5346768,High,Send Promotional Email,90.25,3838.75,43,1
9420-LOJKX,0.624507,High,Offer Upgrade Package,99.1,1426.4,15,1
6575-SUVOI,0.1435789,Low,No Action,69.5,1752.65,25,0
7495-OOKFY,0.6708821,High,Offer Upgrade Package,80.65,633.3,8,1
4667-QONEA,0.07248171,Low,No Action,74.85,4456.35,60,0
1658-BYGOY,0.6553478,High,Offer Upgrade Package,95.45,1752.55,18,1
8769-KKTPH,0.13386975,Low,No Action,99.65,6311.2,63,0
5067-XJQFU,0.2341713,Low,No Action,108.45,7076.35,66,0
3957-SQXML,0.02207905,Low,No Action,24.95,894.3,34,0
5954-BDFSG,0.061982762,Low,No Action,107.5,7853.7,72,0
0434-CSFON,0.6253876,High,Offer Upgrade Package,100.5,4707.1,47,1
1215-FIGMP,0.27882364,Medium,No Action,89.9,5450.7,60,0
0526-SXDJP,0.020509474,Low,No Action,42.1,2962.0,72,0
0557-ASKVU,0.08744373,Low,No Action,54.4,957.1,18,0
5698-BQJOH,0.7065204,High,Offer Upgrade Package,94.4,857.25,9,1
5122-CYFXA,0.44538835,Medium,Send Promotional Email,75.3,244.1,3,0
8627-ZYGSZ,0.15490507,Low,No Action,78.9,3650.35,47,0
3410-YOQBQ,0.04447567,Low,No Action,79.2,2497.2,31,0
3170-NMYVV,0.020583186,Low,No Action,20.15,930.9,50,0
7410-OIEDU,0.4016403,Medium,Send Promotional Email,79.85,887.35,10,0
2273-QCKXA,0.38686782,Medium,No Action,49.05,49.05,1,0
0731-EBJQB,0.047660712,Low,No Action,20.4,1090.65,52,0
1891-QRQSA,0.09337424,Low,No Action,111.6,7099.0,64,0
8028-PNXHQ,0.019788513,Low,No Action,24.25,1424.6,62,0
5630-AHZIL,0.28373054,Medium,No Action,64.5,177.4,3,0
2673-CXQEU,0.26072443,Medium,No Action,110.5,6139.5,56,0
6416-JNVRK,0.089122534,Low,No Action,55.65,2688.85,46,0
5590-ZSKRV,0.14569935,Low,No Action,54.65,482.25,8,0
0191-ZHSKZ,0.24355276,Low,No Action,74.75,2111.3,30,0
3887-PBQAO,0.03615196,Low,No Action,25.9,1216.6,45,0
5919-TMRGD,0.82371473,Critical,Retention Agent + Discount,79.35,79.35,1,1
8108-UXRQN,0.30988595,Medium,No Action,50.55,565.35,11,0
9191-MYQKX,0.56971073,High,Send Promotional Email,75.15,496.9,7,1
9919-YLNNG,0.3793143,Medium,No Action,103.8,4327.5,42,0
0318-ZOPWS,0.02142901,Low,No Action,20.15,973.35,49,0
4445-ZJNMU,0.80240184,Critical,Retention Agent + Discount,99.3,918.75,9,1
4808-YNLEU,0.055560585,Low,No Action,62.15,2215.45,35,0
1862-QRWPE,0.020583186,Low,No Action,20.65,1057.0,48,0
2796-NNUFI,0.020570131,Low,No Action,19.95,927.1,46,0
3016-KSVCP,0.22005191,Low,No Action,33.75,1009.25,29,0
4767-HZZHQ,0.21251638,Low,No Action,82.05,2570.2,30,0
2424-WVHPL,0.62446487,High,Offer Upgrade Package,74.7,74.7,1,1
7233-PAHHL,0.031740107,Low,No Action,84.0,5714.25,66,0
6067-NGCEU,0.23854363,Low,No Action,111.05,7107.0,65,0
9848-JQJTX,0.06967743,Low,No Action,100.9,7459.05,72,0
8637-XJIVR,0.40506634,Medium,Send Promotional Email,78.95,927.35,12,0
9803-FTJCG,0.03247513,Low,No Action,66.85,4748.7,71,0
0278-YXOOG,0.1477472,Low,No Action,21.05,113.85,5,0
3212-KXOCR,0.021442598,Low,No Action,21.0,1107.2,52,0
4598-XLKNJ,0.6168293,High,Offer Upgrade Package,98.5,2514.5,25,1
6380-ARCEH,0.2754885,Medium,No Action,20.2,20.2,1,0
3679-XASPY,0.3195578,Medium,No Action,19.45,19.45,1,0
7123-WQUHX,0.13580301,Low,No Action,95.0,3605.6,38,0
5386-THSLQ,0.07429734,Low,No Action,45.55,3027.25,66,0
3192-NQECA,0.11899715,Low,No Action,110.0,7611.85,68,0
6180-YBIQI,0.47624585,Medium,Send Promotional Email,24.3,100.2,5,0
6728-DKUCO,0.10735634,Low,No Action,104.15,7303.05,72,0
9750-BOOHV,0.05063968,Low,No Action,30.15,927.65,32,0
8597-CWYHH,0.22813153,Low,No Action,94.35,3921.3,43,0
2848-YXSMW,0.015402915,Low,No Action,19.4,1363.25,72,0
0486-HECZI,0.31881684,Medium,No Action,96.75,5238.9,55,0
4549-ZDQYY,0.041892044,Low,No Action,57.95,3042.25,52,0
5712-AHQNN,0.33133274,Medium,No Action,91.65,3954.1,43,0
4846-WHAFZ,0.57808906,High,Send Promotional Email,76.5,2868.15,37,1
5256-SKJGO,0.052418657,Low,No Action,54.6,3423.5,64,0
3071-VBYPO,0.3754645,Medium,No Action,89.85,248.4,3,0
9560-BBZXK,0.030646712,Low,No Action,31.05,1126.35,36,0
5299-RULOA,0.6974086,High,Offer Upgrade Package,100.25,1064.65,10,1
8402-OOOHJ,0.021442598,Low,No Action,20.65,835.15,41,0
9445-ZUEQE,0.17163174,Low,No Action,85.2,2151.6,27,0
1091-SOZGA,0.21347612,Low,No Action,99.8,5515.45,56,0
2928-HLDBA,0.13535176,Low,No Action,20.7,112.75,6,0
0404-SWRVG,0.7096697,High,Offer Upgrade Package,74.4,229.55,3,1
6497-TILVL,0.19459702,Low,No Action,50.7,350.35,7,0
7219-TLZHO,0.13805978,Low,No Action,20.85,62.9,4,0
4622-YNKIJ,0.03268866,Low,No Action,88.95,3027.65,33,0
4412-YLTKF,0.5797006,High,Send Promotional Email,78.05,2135.5,27,1
6734-PSBAW,0.016656391,Low,No Action,23.55,1723.95,72,0
3930-ZGWVE,0.30476552,Medium,No Action,19.75,19.75,1,0
2639-UGMAZ,0.08958509,Low,No Action,56.45,3985.35,71,0
2876-GZYZC,0.70694643,High,Offer Upgrade Package,85.95,1215.65,13,1
6207-WIOLX,0.17966007,Low,No Action,58.6,1502.65,25,0
8587-XYZSF,0.03126142,Low,No Action,50.55,3260.1,67,0
3091-FYHKI,0.735136,High,Offer Upgrade Package,35.45,35.45,1,1
2372-HWUHI,0.5373658,High,Send Promotional Email,44.35,81.25,2,1
7799-LGRDP,0.023778806,Low,No Action,25.7,1188.2,43,0
7850-VWJUU,0.25457543,Medium,No Action,75.0,1778.5,23,0
3774-VBNXY,0.01994126,Low,No Action,20.2,1277.75,64,0
6217-KDYWC,0.020570131,Low,No Action,19.6,1170.55,57,0
0390-DCFDQ,0.7874514,Critical,Offer Upgrade Package,70.45,70.45,1,1
3146-MSEGF,0.020465119,Low,No Action,88.05,6425.65,72,0
4080-OGPJL,0.33269554,Medium,No Action,71.15,563.65,8,0
1095-WGNGG,0.08744358,Low,No Action,101.05,5971.25,61,0
2636-SJDOU,0.055692747,Low,No Action,84.3,5289.05,64,0
1131-QQZEB,0.017905535,Low,No Action,23.95,1756.2,71,0
5716-EZXZN,0.04947414,Low,No Action,99.05,6416.7,65,0
6837-BJYDQ,0.044517916,Low,No Action,19.6,61.35,3,0
2135-RXIHG,0.6547425,High,Offer Upgrade Package,45.65,45.65,1,1
6440-DKQGE,0.061915405,Low,No Action,64.5,1929.95,30,0
3466-BYAVD,0.17067268,Low,No Action,69.5,1071.4,15,0
3780-YVMFA,0.34304604,Medium,No Action,68.55,564.35,8,0
3874-EQOEP,0.7730647,Critical,Offer Upgrade Package,95.0,655.5,7,1
1679-JRFBR,0.18118736,Low,No Action,108.15,7930.55,70,0
9073-ZZIAY,0.027730301,Low,No Action,86.1,5215.25,62,0
3077-RSNTJ,0.13224977,Low,No Action,19.7,113.5,6,0
6551-GNYDG,0.54623544,High,Send Promotional Email,80.9,1152.8,14,1
9167-APMXZ,0.45953664,Medium,Send Promotional Email,84.15,1821.95,22,0
2749-CTKAJ,0.035960726,Low,No Action,20.15,419.9,22,0
6371-NZYEG,0.03231694,Low,No Action,64.25,1024.0,16,0
7554-NEWDD,0.023582654,Low,No Action,25.7,251.6,10,0
8992-VONJD,0.19876724,Low,No Action,56.0,764.55,13,0
0867-MKZVY,0.36543587,Medium,No Action,82.4,1592.35,20,0
4482-EWFMI,0.5650797,High,Send Promotional Email,69.7,135.2,2,1
4648-YPBTM,0.034358412,Low,No Action,73.9,3958.25,53,0
2907-ILJBN,0.041958865,Low,No Action,20.6,233.9,11,0
6345-FZOQH,0.020774437,Low,No Action,19.9,1363.45,69,0
3376-BMGFE,0.52562034,High,Send Promotional Email,70.9,273.0,4,1
5997-OPVFA,0.021083582,Low,No Action,89.05,6254.45,72,0
3445-HXXGF,0.3574208,Medium,No Action,45.3,2651.2,58,0
1159-WFSGR,0.15254809,Low,No Action,20.4,321.4,16,0
7654-YWJUF,0.051372077,Low,No Action,84.25,3539.25,43,0
1875-QIVME,0.7562115,Critical,Offer Upgrade Package,104.4,242.8,2,1
6727-IOTLZ,0.052431222,Low,No Action,81.95,1181.75,14,0
0691-JVSYA,0.20689577,Low,No Action,94.85,5000.2,53,0
5918-VUKWP,0.03654289,Low,No Action,20.55,654.55,32,0
1744-JHKYS,0.11929301,Low,No Action,24.7,780.2,34,0
2656-FMOKZ,0.6301023,High,Offer Upgrade Package,74.45,1145.7,15,1
2070-FNEXE,0.36765778,Medium,No Action,76.45,503.6,7,0
5947-SGKCL,0.5735602,High,Send Promotional Email,105.35,1559.25,15,1
3712-PKXZA,0.034940336,Low,No Action,20.55,1252.0,61,0
6317-YPKDH,0.57651365,High,Send Promotional Email,29.95,29.95,1,1
6582-OIVSP,0.5531008,High,Send Promotional Email,45.3,45.3,1,1
9367-WXLCH,0.6771649,High,Offer Upgrade Package,84.5,662.65,8,1
5524-KHNJP,0.09688667,Low,No Action,74.75,2453.3,33,0
1918-ZBFQJ,0.61386806,High,Offer Upgrade Package,79.25,1111.65,13,1
1024-GUALD,0.7070993,High,Offer Upgrade Package,24.8,24.8,1,1
4827-USJHP,0.17084788,Low,No Action,51.8,1023.85,20,0
8167-GJLRN,0.3890073,Medium,No Action,30.4,82.15,3,0
0956-SYCWG,0.053610418,Low,No Action,19.65,244.8,13,0
8017-UVSZU,0.13981393,Low,No Action,56.6,2379.1,40,0
7100-FQPRV,0.07193348,Low,No Action,71.9,3173.35,43,0
2472-OVKUP,0.7289703,High,Offer Upgrade Package,91.0,531.0,6,1
2984-RGEYA,0.01994126,Low,No Action,19.75,1375.4,69,0
9680-NIAUV,0.04165688,Low,No Action,109.7,8129.3,72,0
2146-EGVDT,0.020583186,Low,No Action,19.3,1192.7,59,0
2604-IJPDU,0.43952402,Medium,Send Promotional Email,96.55,1901.65,20,0
9178-JHUVJ,0.021271527,Low,No Action,24.1,587.4,24,0
6168-YBYNP,0.3860071,Medium,No Action,111.35,6519.75,59,0
7255-SSFBC,0.06121653,Low,No Action,112.25,8041.65,72,0
3645-DEYGF,0.26331124,Medium,No Action,20.75,20.75,1,0
9323-HGFWY,0.14970714,Low,No Action,101.9,2681.15,27,0
8544-GOQSH,0.3837266,Medium,No Action,80.05,1112.3,14,0
3363-DTIVD,0.053930994,Low,No Action,105.55,7405.5,71,0
7018-WBJNK,0.45487952,Medium,Send Promotional Email,78.3,1033.95,13,0
9142-KZXOP,0.22136137,Low,No Action,68.85,2958.95,44,0
7674-YTAFD,0.06379545,Low,No Action,79.95,2684.85,33,0
6348-SNFUS,0.019087639,Low,No Action,55.45,4179.2,72,0
1285-OKIPP,0.8078466,Critical,Retention Agent + Discount,79.9,79.9,1,1
7825-ECJRF,0.53717464,High,Send Promotional Email,106.6,1934.45,19,1
1347-KTTTA,0.19728404,Low,No Action,102.45,6654.1,64,0
7841-TZDMQ,0.5414153,High,Send Promotional Email,46.0,84.5,2,1
4195-NZGTA,0.6440425,High,Offer Upgrade Package,25.25,25.25,1,1
7157-SMCFK,0.020322705,Low,No Action,19.75,1124.2,61,0
4709-LKHYG,0.048307914,Low,No Action,20.0,540.05,29,0
2504-DSHIH,0.45883176,Medium,Send Promotional Email,86.8,1975.85,23,0
0699-NDKJM,0.17368892,Low,No Action,58.75,3437.45,57,0
9286-BHDQG,0.017352492,Low,No Action,45.25,3139.8,72,0
0230-WEQUW,0.026492847,Low,No Action,56.6,3789.2,66,0
2040-LDIWQ,0.035748087,Low,No Action,84.2,5324.5,65,0
6496-JDSSB,0.5543939,High,Send Promotional Email,80.0,624.6,8,1
9408-SSNVZ,0.5617669,High,Send Promotional Email,70.15,268.35,4,1
4443-EMBNA,0.01753176,Low,No Action,24.75,1836.9,71,0
6469-MRVET,0.07092302,Low,No Action,20.2,20.2,1,0
0742-MOABM,0.3371114,Medium,No Action,50.05,179.35,4,0
5961-VUSRV,0.04346178,Low,No Action,19.35,219.35,12,0
6778-JFCMK,0.09918106,Low,No Action,50.6,1288.75,24,0
6341-JVQGF,0.08321557,Low,No Action,81.15,2545.75,31,0
2232-DMLXU,0.532229,High,Send Promotional Email,55.2,55.2,1,1
4811-JBUVU,0.25757697,Medium,No Action,89.9,2723.15,30,0
0945-TSONX,0.027115349,Low,No Action,85.3,4107.25,47,0
2651-ZCBXV,0.14609389,Low,No Action,108.0,5760.65,54,0
3316-UWXUY,0.1519295,Low,No Action,93.5,4747.5,50,0
8937-RDTHP,0.6105133,High,Offer Upgrade Package,84.6,84.6,1,1
7083-MIOPC,0.01604952,Low,No Action,20.25,1566.9,72,0
1984-GPTEH,0.12162093,Low,No Action,25.15,702.0,29,0
1251-KRREG,0.6060551,High,Offer Upgrade Package,54.4,114.1,2,1
0621-JFHOL,0.056162998,Low,No Action,29.6,299.05,10,0
9903-LYSAB,0.5428265,High,Send Promotional Email,73.15,1305.95,18,1
0094-OIFMO,0.6563769,High,Offer Upgrade Package,95.0,1120.3,11,1
9227-UAQFT,0.022806827,Low,No Action,19.75,284.35,16,0
7301-ABVAD,0.028083421,Low,No Action,86.6,6350.5,72,0
6614-FHDBO,0.062503785,Low,No Action,109.2,7878.3,72,0
7576-ASEJU,0.079862915,Low,No Action,74.7,3187.65,41,0
9058-HRZSV,0.21301822,Low,No Action,94.4,6126.15,65,0
4522-AKYLR,0.26341477,Medium,No Action,54.8,731.3,13,0
0221-WMXNQ,0.39827678,Medium,No Action,75.35,273.4,4,0
0303-UNCIP,0.13293757,Low,No Action,65.0,2531.8,41,0
9947-OTFQU,0.5142455,High,Send Promotional Email,74.4,1074.3,15,1
0322-YINQP,0.4713876,Medium,Send Promotional Email,48.55,48.55,1,0
0959-WHOKV,0.15895344,Low,No Action,99.0,4298.45,42,0
4075-JFPGR,0.11664884,Low,No Action,93.5,4619.55,51,0
4629-NRXKX,0.5763605,High,Send Promotional Email,70.4,147.15,2,1
9514-JDSKI,0.6402182,High,Offer Upgrade Package,40.2,40.2,1,1
3282-ZISZV,0.10981744,Low,No Action,83.7,2633.3,32,0
3675-YDUPJ,0.12955064,Low,No Action,19.85,193.05,10,0
4111-BNXIF,0.052418657,Low,No Action,59.55,4103.9,67,0
7017-VFHAY,0.07619483,Low,No Action,115.1,7008.15,61,0
6655-LHBYW,0.28174794,Medium,No Action,114.35,5791.1,50,0
4959-JOSRX,0.5290977,High,Send Promotional Email,44.6,80.55,2,1
5046-NUHWD,0.30492592,Medium,No Action,45.0,1228.65,29,0
7273-TEFQD,0.68253136,High,Offer Upgrade Package,41.15,132.2,3,1
3606-TWKGI,0.7276658,High,Offer Upgrade Package,106.9,1364.3,13,1
7529-ZDFXI,0.36373916,Medium,No Action,89.85,4925.35,57,0
7605-BDWDC,0.025502775,Low,No Action,49.85,1520.1,31,0
1950-KSVVJ,0.22565395,Low,No Action,113.3,5032.25,45,0
0123-CRBRT,0.025279362,Low,No Action,88.1,5526.75,61,0
6292-TOSSS,0.021292096,Low,No Action,24.9,1195.25,50,0
3197-ARFOY,0.48683393,Medium,Send Promotional Email,105.0,2007.25,19,0
6323-AYBRX,0.021442598,Low,No Action,19.35,1099.6,59,0
7014-ZZXAW,0.017229257,Low,No Action,24.25,1732.95,71,0
4385-GZQXV,0.5533184,High,Send Promotional Email,94.45,1511.2,16,1
7633-MVPUY,0.026891313,Low,No Action,59.75,3450.15,57,0
6366-ZGQGL,0.5930824,High,Send Promotional Email,24.8,24.8,1,1
4716-HHKQH,0.42852306,Medium,Send Promotional Email,107.05,2172.05,20,0
5940-AHUHD,0.7507225,Critical,Offer Upgrade Package,70.6,70.6,1,1
6432-TWQLB,0.6324862,High,Offer Upgrade Package,85.4,401.1,5,1
4484-GLZOU,0.61573493,High,Offer Upgrade Package,105.05,5624.85,52,1
3179-GBRWV,0.21375278,Low,No Action,64.95,1339.8,21,0
8645-KWHJO,0.40664884,Medium,Send Promotional Email,55.0,771.95,14,0
4130-MZLCC,0.32462147,Medium,No Action,50.55,244.75,5,0
0314-TKOSI,0.16288853,Low,No Action,55.15,322.9,6,0
8229-MYEJZ,0.1987305,Low,No Action,51.2,498.25,10,0
2080-SRCDE,0.24504432,Low,No Action,25.4,25.4,1,0
9577-WJVCQ,0.12353982,Low,No Action,54.45,3687.75,68,0
9512-UIBFX,0.34026757,Medium,No Action,95.15,1779.95,18,0
6202-DYYFX,0.10532616,Low,No Action,76.0,1783.6,22,0
3808-HFKDE,0.31469902,Medium,No Action,44.35,927.15,20,0
5583-SXDAG,0.79050267,Critical,Offer Upgrade Package,70.0,70.0,1,1
3488-PGMQJ,0.5316605,High,Send Promotional Email,74.5,606.55,8,1
3580-REOAC,0.24944414,Low,No Action,44.85,435.4,10,0
7534-BFESC,0.554012,High,Send Promotional Email,76.1,1712.7,24,1
3727-OWVYD,0.045559272,Low,No Action,61.2,2021.2,35,0
2294-SALNE,0.0765326,Low,No Action,86.8,1940.8,23,0
4847-TAJYI,0.76418287,Critical,Offer Upgrade Package,89.35,567.8,6,1
1563-IWQEX,0.12903419,Low,No Action,19.7,220.35,12,0
8203-XJZRC,0.2754885,Medium,No Action,20.25,20.25,1,0
6556-DBKZF,0.05017894,Low,No Action,76.05,5436.45,71,0
6851-WEFYX,0.6197797,High,Offer Upgrade Package,100.8,3437.5,35,1
2985-JUUBZ,0.25671387,Medium,No Action,74.55,3015.75,40,0
6390-DSAZX,0.5671894,High,Send Promotional Email,73.6,73.6,1,1
0895-LMRSF,0.16005829,Low,No Action,64.9,1509.8,23,0
8098-LLAZX,0.8210028,Critical,Retention Agent + Discount,95.45,396.1,4,1
8266-VBFQL,0.6584938,High,Offer Upgrade Package,90.4,356.65,4,1
8181-YHCMF,0.03167042,Low,No Action,60.3,4109.0,68,0
2240-HSJQD,0.3027576,Medium,No Action,81.85,3141.7,38,0
1248-DYXUB,0.020055013,Low,No Action,24.8,1229.1,52,0
0265-EDXBD,0.54312366,High,Send Promotional Email,74.9,2303.35,32,1
4115-BNPJY,0.047096994,Low,No Action,75.55,2054.4,29,0
3167-SNQPL,0.35296255,Medium,No Action,101.15,3741.85,38,0
4091-TVOCN,0.10678207,Low,No Action,78.75,3682.45,48,0
1098-TDVUQ,0.32200253,Medium,No Action,19.25,19.25,1,0
7277-OZCGZ,0.2762857,Medium,No Action,89.05,1886.25,22,0
1557-EMYVT,0.11744809,Low,No Action,115.05,4895.1,43,0
2799-ARNLO,0.555568,High,Send Promotional Email,69.35,341.6,5,1
7563-BIUPC,0.74655706,High,Offer Upgrade Package,80.6,415.55,5,1
5027-YOCXN,0.24435428,Low,No Action,110.05,5686.4,51,0
3973-SKMLN,0.016926961,Low,No Action,19.9,1355.1,71,0
2321-OMBXY,0.077032626,Low,No Action,80.3,3058.65,38,0
2840-XANRC,0.4860219,Medium,Send Promotional Email,93.15,2231.05,24,0
6745-JEFZB,0.23968777,Low,No Action,91.5,3236.35,35,0
5020-ZSTTY,0.092800796,Low,No Action,82.45,4350.1,54,0
9880-TDQAC,0.040325377,Low,No Action,60.0,4264.0,72,0
8705-WZCYL,0.6547425,High,Offer Upgrade Package,44.8,44.8,1,1
7102-JJVTX,0.058184613,Low,No Action,48.6,422.3,9,0
8626-PTQGE,0.028562503,Low,No Action,60.05,4176.7,69,0
4983-CLMLV,0.33897722,Medium,No Action,102.7,5138.1,52,0
5701-YVSVF,0.5485436,High,Send Promotional Email,82.9,880.05,11,1
5804-LEPIM,0.6262844,High,Offer Upgrade Package,70.35,139.05,2,1
5697-GOMBF,0.35397068,Medium,No Action,35.9,973.65,28,0
2739-CACDQ,0.49737492,Medium,Send Promotional Email,82.65,1470.05,17,0
9385-EHGDO,0.020570131,Low,No Action,19.85,739.35,35,0
9498-FIMXL,0.04494507,Low,No Action,19.2,161.95,8,0
2379-GYFLQ,0.15937461,Low,No Action,94.9,4422.95,46,0
0122-OAHPZ,0.68447447,High,Offer Upgrade Package,73.85,511.25,7,1
2868-SNELZ,0.66772634,High,Offer Upgrade Package,80.6,155.8,2,1
4322-RCYMT,0.10186655,Low,No Action,75.8,5293.95,68,0
6680-NENYN,0.16661932,Low,No Action,104.6,4759.85,43,0
2088-IEBAU,0.03145158,Low,No Action,88.15,6148.45,68,0
7982-VCELR,0.26483232,Medium,No Action,94.8,3565.65,36,0
1343-EHPYB,0.5150842,High,Send Promotional Email,103.4,6603.0,63,1
6035-BXTTY,0.12822723,Low,No Action,54.65,1830.1,32,0
6885-PKOAM,0.020416005,Low,No Action,85.75,6223.8,71,0
7520-HQWJU,0.11628734,Low,No Action,67.45,4508.65,66,0
9639-BUJXT,0.03542123,Low,No Action,20.5,1328.15,63,0
5924-SNGKP,0.0339579,Low,No Action,20.25,865.0,41,0
0021-IKXGC,0.84202456,Critical,Retention Agent + Discount,72.1,72.1,1,1
2034-GDRCN,0.7572872,Critical,Offer Upgrade Package,90.4,168.2,2,1
8966-SNIZF,0.020774437,Low,No Action,19.45,1303.5,70,0
6243-OZGFH,0.4471667,Medium,Send Promotional Email,44.95,996.85,23,0
4654-DLAMQ,0.114152685,Low,No Action,97.0,6430.9,64,0
0513-RBGPE,0.02425107,Low,No Action,62.8,2278.75,37,0
5160-UXJED,0.09190153,Low,No Action,44.6,681.4,17,0
4115-NZRKS,0.7551535,Critical,Offer Upgrade Package,89.15,574.35,7,1
0219-YTZUE,0.7699566,Critical,Offer Upgrade Package,84.8,371.9,4,1
0623-IIHUG,0.46917874,Medium,Send Promotional Email,41.9,840.1,21,0
4572-DVCGN,0.64224595,High,Offer Upgrade Package,80.25,846.0,10,1
3351-NGXYI,0.38817868,Medium,No Action,54.1,889.0,16,0
8984-EYLLL,0.12955318,Low,No Action,105.25,6823.4,64,0
9057-MSWCO,0.26535958,Medium,No Action,30.75,805.1,27,0
9833-TGFHX,0.17050868,Low,No Action,97.1,4016.75,42,0
9294-TDIPC,0.1282628,Low,No Action,20.2,83.75,5,0
5229-DTFYB,0.07377736,Low,No Action,98.8,3959.15,41,0
0104-PPXDV,0.058030836,Low,No Action,50.3,2878.55,58,0
5176-LMJXE,0.02142901,Low,No Action,20.55,945.7,47,0
3583-KRKMD,0.19679527,Low,No Action,75.9,1373.05,18,0
1010-DIAUQ,0.7384773,High,Offer Upgrade Package,96.5,492.55,5,1
9069-LGEUL,0.15181345,Low,No Action,59.95,1406.0,23,0
7302-ZHMHP,0.28190842,Medium,No Action,19.15,19.15,1,0
9571-EDEBV,0.16652061,Low,No Action,98.65,6962.85,71,0
3520-FJGCV,0.043955386,Low,No Action,112.6,8126.65,72,0
6563-VRERX,0.034425754,Low,No Action,20.6,690.25,33,0
0259-GBZSH,0.7996607,Critical,Offer Upgrade Package,85.65,181.5,2,1
6122-EFVKN,0.025275944,Low,No Action,35.75,830.8,24,0
2805-EDJPQ,0.1712507,Low,No Action,99.75,5608.4,56,0
6862-CQUMB,0.34338173,Medium,No Action,96.1,3646.8,37,0
7156-MXBJE,0.10285182,Low,No Action,85.1,3662.25,43,0
6158-HDPXZ,0.5930824,High,Send Promotional Email,25.35,25.35,1,1
9601-BRXPO,0.5906868,High,Send Promotional Email,104.95,2566.5,25,1
2863-IMQDR,0.028963733,Low,No Action,89.65,5308.7,61,0
5686-CMAWK,0.13471341,Low,No Action,86.75,1410.25,17,0
